name,category,serving_size_g,energy_kcal,energy_kj,protein_g,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g
Big Mac,whats-new,,509,2127,27,41,8.1,25,9.6,3.4,2.0
Big Rosti,whats-new,,803,3349,37,59,7.8,46,14,5.2,3.2
Maple & Cheddar Chicken,whats-new,,642,2692,29,70,18,27,5.5,3.7,2.7
Paprika Shaker Fries- Medium,whats-new,,345,1445,3.6,43,1.7,17,1.5,4.0,1.3
Paprika Shaker Fries- Large,whats-new,,452,1890,4.6,56,1.9,22,2.0,5.1,1.5
Mac and Cheese Triangles,whats-new,,226,949,7.2,24,0.9,11,3.7,1.2,1.0
Mac and Cheese Triangles Sharebox®,whats-new,,679,2846,22,71,2.8,33,11,3.7,3.0
S'mores McFlurry®,whats-new,,338,1420,6.0,51,42,12,7.5,2.1,0.43
S'mores Mini McFlurry®,whats-new,,169,710,3.0,26,21,5.8,3.7,1.0,0.22
Szechuan Dip,whats-new,,91,384,1.4,16,16,2.1,0.9,0.5,1.5
Guava x Sprite® Zero,whats-new,,6,27,0.1,0.3,0.0,0.0,0.0,0.0,0.05
Chicken & Egg McMuffin ®,whats-new,,396,1660,22,38,3.0,17,4.6,2.2,1.4
Chicken & Bacon McMuffin®,whats-new,,363,1524,20,37,2.9,15,4.1,2.2,1.6
McCrispy®,chicken,,484,2031,26,53,6.9,18,2.0,3.7,1.9
Cheese & Bacon McCrispy®,chicken,,578,2421,33,55,7.7,24,5.3,3.7,2.7
Spicy McCrispy®,chicken,,486,2039,26,53,6.2,18,2.0,3.6,2.0
The McDonald's Chicken Sharebox®,chicken,,1193,4970,77,85,1.1,59,6.2,5.4,4.3
9 Chicken Selects Sharebox®,chicken,,1008,4181,70,66,0.0,50,4.9,4.1,4.7
Chicken Selects (5 pieces),chicken,,560,2323,39,36,0.0,28,2.7,2.3,2.6
Chicken Selects (3 pieces),chicken,,336,1394,23,22,0.0,17,1.6,1.4,1.6
20 Chicken McNuggets ShareBox,chicken,,869,3638,50,68,1.9,43,4.9,4.5,1.9
Chicken McNuggets (9 pieces),chicken,,391,1637,22,31,0.9,19,2.2,2.0,0.86
Chicken McNuggets (6 pieces),chicken,,261,1092,15,21,0.6,13,1.5,1.4,0.57
The Tikka Chicken One - Crispy,chicken,,455,1902,21,50,4.2,18,2.0,4.8,1.8
Crispy Sweet Chilli Chicken Wrap,chicken,,453,1894,21,53,6.5,16,1.9,4.7,1.9
Crispy BBQ & Bacon Wrap,chicken,,477,1994,23,54,6.3,18,2.5,4.6,2.1
McChicken Sandwich,chicken,,371,1558,17,41,7.0,15,1.5,2.7,1.2
Mayo Chicken,chicken,,282,1186,12,36,5.1,9.4,1.0,2.1,0.92
Crispy Chicken Salad,chicken,,355,1483,21,24,3.7,18,3.5,3.5,1.3
Crispy Chicken & Bacon Salad,chicken,,401,1676,26,25,3.8,21,4.5,3.5,1.7
Big Arch,burgers,,1057,4406,57,54,15,67,26,4.0,4.1
Double Quarter Pounder with Cheese,burgers,,749,3126,50,36,11,44,20,2.5,2.8
Quarter Pounder with Cheese,burgers,,514,2148,31,36,11,27,13,2.3,2.3
Double Cheeseburger,burgers,,452,1886,27,31,8.2,24,11,2.2,2.1
Cheeseburger,burgers,,303,1269,16,30,7.5,13,5.8,2.1,1.4
Hamburger,burgers,,255,1072,13,29,6.9,9.2,3.5,2.1,1.1
Double Filet-O-Fish®,burgers,,453,1897,24,45,5.9,19,3.7,2.5,2.1
Filet-O-Fish,burgers,,316,1324,14,36,5.4,13,2.1,2.2,1.4
McPlant,burgers,,426,1783,19,40,11,20,6.5,4.2,2.1
Mini Hashbrown Sharebox®,made-for-sharing,,316,1318,2.8,34,0.6,18,1.3,3.8,1.1
Fries Small,saver-menu,,237,990,2.3,29,0.4,12,1.1,2.6,0.44
Chocolate Milkshake Small,saver-menu,,192,808,5.9,32,27,4.1,2.8,1.1,0.35
Strawberry Milkshake Small,saver-menu,,188,792,5.5,33,30,3.7,2.6,0.7,0.22
Banana Milkshake Small,saver-menu,,191,807,5.5,34,30,3.7,2.6,0.7,0.20
Vanilla Milkshake Small,saver-menu,,192,810,5.5,34,31,3.7,2.6,0.7,0.21
White Coffee Regular,saver-menu,,54,229,4.1,5.5,4.7,1.8,1.1,0.0,0.11
Americano,saver-menu,,6,23,0.6,0.8,0.0,0.0,0.0,0.0,0.01
Coca-Cola Zero Sugar Small,saver-menu,,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.07
Diet Coke Small,saver-menu,,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Sprite Zero Small,saver-menu,,3,13,0.1,0.0,0.0,0.0,0.0,0.0,0.03
Fanta Orange Zero - Small,saver-menu,,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Irn Bru Small,saver-menu,,48,203,0.0,11,11,0.0,0.0,0.0,0.00
Oasis Zero Summer Fruits - Small,saver-menu,,7,37,0.0,1.2,1.2,0.0,0.0,0.0,0.20
Coca-Cola Small,saver-menu,,106,451,0.0,27,27,0.0,0.0,0.0,0.00
Oreo McFlurry (Mini),saver-menu,,130,547,2.6,19,16,4.5,3.0,0.9,0.15
Smarties Mini McFlurry,saver-menu,,137,574,2.6,20,18,5.0,3.3,0.7,0.09
Shaker Side Salad,wraps-and-salads,,58,241,1.2,3.8,1.7,4.0,1.1,1.2,0.14
Fries Medium,vegetarian,,337,1410,3.3,42,0.6,17,1.5,3.6,0.62
